x,y,Temperature
5.999999999999999778e-01,4.400000000000000022e-01,7.842735555021114635e+01
6.400000000000000133e-01,4.400000000000000022e-01,6.757632271366037457e+01
6.800000000000000488e-01,4.400000000000000022e-01,5.664342733706475741e+01
7.199999999999999734e-01,4.400000000000000022e-01,4.644007335273580850e+01
7.600000000000000089e-01,4.400000000000000022e-01,3.678728962199969033e+01
8.000000000000000444e-01,4.400000000000000022e-01,2.740188550376828758e+01
0.000000000000000000e+00,4.799999999999999822e-01,5.777423593723165141e+01
4.000000000000000083e-02,4.799999999999999822e-01,5.815423579542942178e+01
8.000000000000000167e-02,4.799999999999999822e-01,5.948793939718330392e+01
1.199999999999999956e-01,4.799999999999999822e-01,6.172222922488171548e+01
1.600000000000000033e-01,4.799999999999999822e-01,6.468034068800193381e+01
2.000000000000000111e-01,4.799999999999999822e-01,6.777978884887855315e+01
2.399999999999999911e-01,4.799999999999999822e-01,6.967670063588037976e+01
2.800000000000000266e-01,4.799999999999999822e-01,7.070598332888293669e+01
3.200000000000000067e-01,4.799999999999999822e-01,7.122428301252230654e+01
3.599999999999999867e-01,4.799999999999999822e-01,7.143582940240968071e+01
4.000000000000000222e-01,4.799999999999999822e-01,7.142624248136540643e+01
4.400000000000000022e-01,4.799999999999999822e-01,7.119181560506940798e+01
4.799999999999999822e-01,4.799999999999999822e-01,7.063729839708656755e+01
5.200000000000000178e-01,4.799999999999999822e-01,6.953587475138166951e+01
5.600000000000000533e-01,4.799999999999999822e-01,6.744190822868132784e+01
5.999999999999999778e-01,4.799999999999999822e-01,6.358175074575387242e+01
6.400000000000000133e-01,4.799999999999999822e-01,5.706066058597206592e+01
6.800000000000000488e-01,4.799999999999999822e-01,4.963857395005767614e+01
7.199999999999999734e-01,4.799999999999999822e-01,4.208442790625890240e+01
7.600000000000000089e-01,4.799999999999999822e-01,3.454303552499816732e+01
8.000000000000000444e-01,4.799999999999999822e-01,2.694902174443103604e+01
0.000000000000000000e+00,5.200000000000000178e-01,4.891989625439907741e+01
4.000000000000000083e-02,5.200000000000000178e-01,4.916377820350518846e+01
